trace: fused_rank0.json
with_stack: 1
record_shapes: 1
python_function_events: 331

timestamp_us	duration_us	function
7311464294410.653	13.81	<built-in method copy_ of Tensor object at 0x2b20309f7bb0>
7311464294427.088	6.347	torch/utils/_device.py(110): __torch_function__
7311464294434.263	14.13	<built-in method copy_ of Tensor object at 0x2b20309f7bb0>
7311464294435.275	12.711	torch/utils/_device.py(110): __torch_function__
7311464294435.55	12.318	<built-in method copy_ of Tensor object at 0x2b20309f7bb0>
7311464294451.055	25.022	<built-in method empty of type object at 0x2b1c7169c240>
7311464294456.835	18.501	torch/utils/_device.py(110): __torch_function__
7311464294457.601	0.247	<built-in method get of dict object at 0x2b1d2ed333c0>
7311464294458.751	16.476	<built-in method empty of type object at 0x2b1c7169c240>
7311464294483.146	69.742	deep_gemm/mega/__init__.py(155): fp8_fp4_mega_moe
7311464294489.847	1.104	<built-in method rank of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b1d2ec06df0>
7311464294493.858	58.442	<built-in method fp8_fp4_mega_moe of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b1d30da93f0>
7311464294558.314	41.314	torch/autograd/profiler.py(860): __exit__
7311464294559.987	0.061	torch/_jit_internal.py(103): is_scripting
7311464294564.663	32.441	torch/_ops.py(1085): __call__
7311464294565.771	9.722	torch/_ops.py(1150): _must_dispatch_in_python
7311464294567.581	7.386	<built-in function any>
7311464294568.595	5.507	torch/_ops.py(1151): <genexpr>
7311464294570.206	3.712	torch/_ops.py(1136): _contains_fake_script_object
7311464294571.674	0.956	<built-in function isinstance>
7311464294573.173	0.188	<built-in function isinstance>
7311464294573.732	0.088	<built-in function isinstance>
7311464294574.431	0.161	torch/_ops.py(1151): <genexpr>
7311464294577.475	19.582	<built-in method  of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b1d2f7c3dd0>
7311464294584.442	12.009	torch/utils/_device.py(110): __torch_function__
7311464294586.128	0.767	torch/_ops.py(880): __hash__
7311464294586.686	0.127	<built-in function hash>
7311464294587.647	8.262	torch/_ops.py(1085): __call__
7311464294587.962	2.99	torch/_ops.py(1150): _must_dispatch_in_python
7311464294588.456	2.276	<built-in function any>
7311464294588.732	1.648	torch/_ops.py(1151): <genexpr>
7311464294589.019	1.222	torch/_ops.py(1136): _contains_fake_script_object
7311464294589.351	0.176	<built-in function isinstance>
7311464294589.727	0.155	<built-in function isinstance>
7311464294590.082	0.084	<built-in function isinstance>
7311464294590.525	0.078	torch/_ops.py(1151): <genexpr>
7311464294591.223	4.574	<built-in method  of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b1d2f7c3dd0>
7311464294598.997	0.294	<built-in method __exit__ of torch._C.DisableTorchFunctionSubclass object at 0x2b20309418b0>
7311464294603.875	2789.768	torch/cuda/__init__.py(1189): synchronize
7311464294606.543	2.839	torch/cuda/__init__.py(481): _lazy_init
7311464294607.491	1.706	torch/cuda/__init__.py(432): is_initialized
7311464294608.536	0.472	<built-in function _cuda_isInBadFork>
7311464294611.22	35.539	torch/cuda/__init__.py(630): __init__
7311464294613.387	33.16	torch/cuda/_utils.py(517): _get_device_index
7311464294613.873	0.133	<built-in function isinstance>
7311464294614.317	0.074	<built-in function isinstance>
7311464294615.286	0.071	<built-in function isinstance>
7311464294616.166	0.058	torch/_jit_internal.py(103): is_scripting
7311464294616.915	0.172	<built-in function isinstance>
7311464294619.107	27.241	torch/_utils.py(847): _get_device_index
7311464294619.456	0.069	<built-in function isinstance>
7311464294619.978	0.07	<built-in function isinstance>
7311464294620.578	0.104	<built-in function isinstance>
7311464294621.36	0.06	torch/_jit_internal.py(103): is_scripting
7311464294622.528	23.682	torch/_utils.py(821): _get_current_device_index
7311464294624.422	21.616	torch/_utils.py(805): _get_device_attr
7311464294625.802	13.27	torch/_utils.py(788): _get_available_device_type
7311464294627.017	11.959	torch/cuda/__init__.py(161): is_available
7311464294627.979	1.103	torch/cuda/__init__.py(152): _is_compiled
7311464294628.597	0.413	<built-in function hasattr>
7311464294629.914	7.448	torch/cuda/__init__.py(157): _nvml_based_avail
7311464294631.117	5.999	<frozen os>(779): getenv
7311464294631.803	5.213	<frozen _collections_abc>(804): get
7311464294632.449	3.744	<frozen os>(680): __getitem__
7311464294633.135	1.353	<frozen os>(762): encode
7311464294633.378	0.058	<built-in function isinstance>
7311464294633.937	0.434	<built-in method encode of str object at 0x2b1d2fb01a70>
7311464294638.388	0.469	<built-in function _cuda_getDeviceCount>
7311464294640.314	0.276	<built-in method lower of str object at 0x2b1c64928a20>
7311464294641.772	4.16	torch/_utils.py(823): <lambda>
7311464294642.69	3.16	torch/cuda/__init__.py(1183): current_device
7311464294643.071	0.877	torch/cuda/__init__.py(481): _lazy_init
7311464294643.411	0.456	torch/cuda/__init__.py(432): is_initialized
7311464294643.672	0.115	<built-in function _cuda_isInBadFork>
7311464294644.85	0.937	<built-in function _cuda_getDevice>
7311464294648.076	1.838	torch/cuda/__init__.py(634): __enter__
7311464294649.166	0.632	<built-in function _cuda_exchangeDevice>
7311464294650.818	2735.219	<built-in function _cuda_synchronize>
7311464297387.815	4.612	torch/cuda/__init__.py(637): __exit__
7311464297390.822	1.133	<built-in function _cuda_maybeExchangeDevice>
7311464297395.107	83.089	torch/profiler/profiler.py(888): step
7311464297395.947	22.935	torch/autograd/profiler.py(860): __exit__
7311464297396.488	0.059	torch/_jit_internal.py(103): is_scripting
7311464297398.409	19.501	torch/_ops.py(1085): __call__
7311464297398.753	3.415	torch/_ops.py(1150): _must_dispatch_in_python
7311464297399.28	2.512	<built-in function any>
7311464297399.546	1.779	torch/_ops.py(1151): <genexpr>
7311464297399.768	1.459	torch/_ops.py(1136): _contains_fake_script_object
7311464297400.113	0.271	<built-in function isinstance>
7311464297400.655	0.152	<built-in function isinstance>
7311464297401.09	0.087	<built-in function isinstance>
7311464297401.524	0.087	torch/_ops.py(1151): <genexpr>
7311464297402.575	15.285	<built-in method  of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b1d2f7c3dd0>
7311464297409.175	8.142	torch/utils/_device.py(110): __torch_function__
7311464297409.975	0.48	torch/_ops.py(880): __hash__
7311464297410.255	0.139	<built-in function hash>
7311464297411.004	6.008	torch/_ops.py(1085): __call__
7311464297411.256	2.063	torch/_ops.py(1150): _must_dispatch_in_python
7311464297411.527	1.645	<built-in function any>
7311464297411.673	1.217	torch/_ops.py(1151): <genexpr>
7311464297411.842	0.989	torch/_ops.py(1136): _contains_fake_script_object
7311464297412.112	0.115	<built-in function isinstance>
7311464297412.389	0.145	<built-in function isinstance>
7311464297412.676	0.083	<built-in function isinstance>
7311464297413.008	0.068	torch/_ops.py(1151): <genexpr>
7311464297413.52	3.373	<built-in method  of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b1d2f7c3dd0>
7311464297418.552	0.196	<built-in method __exit__ of torch._C.DisableTorchFunctionSubclass object at 0x2b20309418b0>
7311464297421.359	2.13	torch/profiler/profiler.py(530): schedule_fn
7311464297424.467	53.729	torch/profiler/profiler.py(928): _transit_action
7311464297425.127	3.592	<built-in method get of dict object at 0x2b1d2ed333c0>
7311464297426.057	0.88	enum.py(1267): __hash__
7311464297426.64	0.21	<built-in function hash>
7311464297427.287	0.461	enum.py(1267): __hash__
7311464297427.559	0.119	<built-in function hash>
7311464297430.664	47.532	torch/profiler/profiler.py(283): stop_trace
7311464297433.937	44.259	torch/autograd/profiler.py(403): __exit__
7311464297434.917	0.194	<built-in function hasattr>
7311464297439.949	0.252	<built-in function getattr>
7311464297440.595	0.107	<built-in function hasattr>
7311464297441.615	36.581	torch/cuda/__init__.py(1189): synchronize
7311464297441.935	0.848	torch/cuda/__init__.py(481): _lazy_init
7311464297442.189	0.506	torch/cuda/__init__.py(432): is_initialized
7311464297442.422	0.199	<built-in function _cuda_isInBadFork>
7311464297443.437	17.33	torch/cuda/__init__.py(630): __init__
7311464297443.784	16.783	torch/cuda/_utils.py(517): _get_device_index
7311464297443.957	0.159	<built-in function isinstance>
7311464297444.348	0.085	<built-in function isinstance>
7311464297444.702	0.059	<built-in function isinstance>
7311464297445.34	0.062	torch/_jit_internal.py(103): is_scripting
7311464297445.839	0.144	<built-in function isinstance>
7311464297446.507	13.902	torch/_utils.py(847): _get_device_index
7311464297446.596	0.09	<built-in function isinstance>
7311464297446.937	0.069	<built-in function isinstance>
7311464297447.371	0.076	<built-in function isinstance>
7311464297447.904	0.06	torch/_jit_internal.py(103): is_scripting
7311464297448.389	11.898	torch/_utils.py(821): _get_current_device_index
7311464297448.715	11.464	torch/_utils.py(805): _get_device_attr
7311464297448.921	7.803	torch/_utils.py(788): _get_available_device_type
7311464297449.275	7.358	torch/cuda/__init__.py(161): is_available
7311464297449.531	0.52	torch/cuda/__init__.py(152): _is_compiled
7311464297449.842	0.139	<built-in function hasattr>
7311464297450.318	5.688	torch/cuda/__init__.py(157): _nvml_based_avail
7311464297451.094	4.754	<frozen os>(779): getenv
7311464297451.855	3.874	<frozen _collections_abc>(804): get
7311464297452.278	2.802	<frozen os>(680): __getitem__
7311464297452.902	0.914	<frozen os>(762): encode
7311464297453.079	0.088	<built-in function isinstance>
7311464297453.482	0.253	<built-in method encode of str object at 0x2b1d2fb01a70>
7311464297456.368	0.188	<built-in function _cuda_getDeviceCount>
7311464297457.0	0.199	<built-in method lower of str object at 0x2b1c64928a20>
7311464297457.846	2.256	torch/_utils.py(823): <lambda>
7311464297458.092	1.933	torch/cuda/__init__.py(1183): current_device
7311464297458.346	0.568	torch/cuda/__init__.py(481): _lazy_init
7311464297458.563	0.299	torch/cuda/__init__.py(432): is_initialized
7311464297458.702	0.095	<built-in function _cuda_isInBadFork>
7311464297459.266	0.697	<built-in function _cuda_getDevice>
7311464297461.377	0.834	torch/cuda/__init__.py(634): __enter__
7311464297461.648	0.465	<built-in function _cuda_exchangeDevice>
7311464297462.552	6.706	<built-in function _cuda_synchronize>
7311464297469.695	8.501	torch/cuda/__init__.py(637): __exit__
7311464297469.935	0.48	<built-in function _cuda_maybeExchangeDevice>
7311464297471.956	0.335	<built-in function perf_counter_ns>
7311464297474.576	3.62	<built-in method _disable_profiler of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b1d2f320710>
